file_name	seed	formula_x	formula_y
NA	NA	NA	NA
2023-08-04-14-17_seed_6654.png	6654	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-18_seed_7905.png	7905	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-18_seed_3702.png	3702	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-19_seed_3593.png	3593	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-19_seed_4313.png	4313	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-20_seed_9931.png	9931	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-20_seed_9925.png	9925	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-22_seed_469.png	469	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-23_seed_6001.png	6001	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-24_seed_2463.png	2463	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-14-28_seed_9340.png	9340	runif(1, -1, 1) * x_i^2 + sin(y_i^4)	runif(1, -1, 1) * y_i^3 + cos(x_i^4)
2023-08-04-14-28_seed_7769.png	7769	runif(1, -1, 1) * x_i^2 + sin(y_i^4)	runif(1, -1, 1) * y_i^3 + cos(x_i^2)
2023-08-04-14-29_seed_4150.png	4150	runif(1, -1, 1) * x_i^2 + sin(y_i^2)	runif(1, -1, 1) * y_i^2 + cos(x_i^2)
2023-08-04-15-29_seed_4516.png	4516	runif(1, 1, 1) * x_i^2 + sin(y_i^2)	runif(1, 1, 1) * y_i^2 + cos(x_i^2)
2023-08-04-15-30_seed_2340.png	2340	runif(1, 1, 1) * x_i^3 + sin(y_i^2)	runif(1, 1, 1) * y_i^3 + cos(x_i^2)
2023-08-04-15-30_seed_4592.png	4592	runif(1, 1, 1) * x_i^3 + sin(y_i^2)	runif(1, 1, 1) * y_i^3 + cos(x_i^2)
2023-08-04-15-30_seed_2407.png	2407	runif(1, 1, 1) * x_i^3 + sin(y_i^2)	runif(1, 1, 1) * y_i^3 + cos(x_i^2)
2023-08-04-15-31_seed_1648.png	1648	runif(1, -1, 1) * x_i^3 + sin(y_i^2)	runif(1, 1, 1) * y_i^3 + cos(x_i^2)
2023-08-04-15-31_seed_4196.png	4196	runif(1, 1, 1) * x_i^3 + sin(y_i^2)	runif(1, -1, 1) * y_i^3 + cos(x_i^2)
2023-08-04-15-32_seed_5059.png	5059	runif(1, -1, 1) * x_i^5 + sin(y_i^2)	runif(1, -1, 1) * y_i^5 + cos(x_i^2)
2023-08-04-15-32_seed_1976.png	1976	runif(1, -1, 1) * x_i^2 + sin(y_i^2)	runif(1, -1, 1) * y_i^1 + cos(x_i^3)
2023-08-04-15-33_seed_2424.png	2424	runif(1, -1, 1) * x_i^2 + sin(y_i^2)	runif(1, -1, 1) * y_i^1 + cos(x_i^6)
2023-08-04-15-33_seed_1132.png	1132	runif(1, -1, 1) * x_i^2 + sin(y_i^2)	runif(1, -1, 1) * y_i^1 + cos(x_i^15)
2023-08-04-15-33_seed_3614.png	3614	runif(1, -1, 1) * x_i^2 + sin(y_i^2)	runif(1, -1, 1) * y_i^1 + cos(x_i^10)
2023-08-04-15-40_seed_6224.png	6224	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-15-40_seed_5746.png	5746	runif(1, -1, 1) * x_i^2 + sin(y_i^2)	runif(1, -1, 1) * y_i^1 + cos(x_i^10)
2023-08-04-15-43_seed_9993.png	9993	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-15-43_seed_3580.png	3580	runif(1, -1, 1) * x_i^2 + sin(y_i^2)	runif(1, -1, 1) * y_i^1 + cos(x_i^10)
2023-08-04-15-45_seed_911.png	911	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-15-46_seed_7500.png	7500	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-15-46_seed_9770.png	9770	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-15-46_seed_4723.png	4723	runif(1, -1, 1) * x_i^2 - sin(y_i^8)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-15-48_seed_6602.png	6602	runif(1, -1, 1) * x_i^2 - sin(y_i^8)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-39_seed_1231.png	1231	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-41_seed_640.png	640	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-41_seed_4646.png	4646	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-42_seed_5994.png	5994	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-44_seed_7477.png	7477	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-47_seed_2416.png	2416	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-48_seed_5748.png	5748	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-56_seed_2184.png	2184	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-16-59_seed_7926.png	7926	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-00_seed_2305.png	2305	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-01_seed_4017.png	4017	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-02_seed_6835.png	6835	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-04_seed_6210.png	6210	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-05_seed_4891.png	4891	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-05_seed_2044.png	2044	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-06_seed_1806.png	1806	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-09_seed_7449.png	7449	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-08-04-17-11_seed_2138.png	2138	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-12-17-21-34_seed_2585.png	2585	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-12-17-21-35_seed_9311.png	9311	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2023-12-17-21-36_seed_8784.png	8784	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
